epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2607.58,0.944,1.20948,1.08447,0.68124,0.51953,0.57353,0.41568,0.98312,0.98086,1.07834,0.00998918,0.00332973,0.00998918,0.00332973,0.00998918,0.00332973,0.00998918,0.00332973
2,5033.04,1.03685,1.08142,1.13709,0.57962,0.44921,0.46501,0.32026,1.12413,1.22008,1.16531,0.0189997,0.00633324,0.0189997,0.00633324,0.0189997,0.00633324,0.0189997,0.00633324
3,7648.19,1.17817,1.36315,1.22832,0.52234,0.35314,0.36206,0.24132,1.25567,1.52471,1.26592,0.0270202,0.00900675,0.0270202,0.00900675,0.0270202,0.00900675,0.0270202,0.00900675
4,10537.6,1.2149,1.44093,1.25416,0.57175,0.40184,0.42722,0.28767,1.18138,1.29535,1.2162,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,12004.1,1.16307,1.3246,1.22445,0.59138,0.44928,0.47614,0.33112,1.11155,1.16971,1.17218,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,14387.3,1.13284,1.25587,1.20492,0.61965,0.47379,0.50934,0.35918,1.07407,1.09876,1.14333,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,17629.4,1.10749,1.20534,1.18962,0.63818,0.48893,0.52841,0.37798,1.0443,1.0446,1.12848,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,20017.2,1.089,1.16459,1.17953,0.6512,0.50607,0.55152,0.39658,1.02468,0.99474,1.11279,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,23054.2,1.076,1.13302,1.16844,0.68143,0.516,0.57041,0.41199,1.00436,0.96218,1.09934,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,26071.2,1.06077,1.10454,1.16098,0.68467,0.52301,0.58243,0.42429,0.98963,0.93669,1.08919,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,27829,1.04702,1.03564,1.13592,0.68806,0.52558,0.58422,0.42374,0.98985,0.93447,1.09153,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,29156.1,1.03535,1.00237,1.12756,0.6891,0.54679,0.59512,0.43406,0.9801,0.91278,1.08311,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,30458.7,1.02017,0.97092,1.11662,0.68029,0.54743,0.60088,0.43972,0.9733,0.89766,1.07842,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,31569.7,1.00417,0.93912,1.10624,0.69958,0.55156,0.60498,0.44341,0.96619,0.88728,1.07213,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,32517.9,0.98759,0.90721,1.09646,0.68803,0.5676,0.61254,0.44998,0.96049,0.87683,1.06914,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,33666.2,0.97178,0.8751,1.0861,0.69408,0.56801,0.61461,0.45195,0.95779,0.87023,1.06745,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,34967.1,0.95642,0.84216,1.07648,0.68289,0.5728,0.61679,0.45341,0.95522,0.86612,1.06567,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,36256.2,0.93827,0.80745,1.06437,0.69427,0.56756,0.61812,0.45481,0.95228,0.86316,1.06327,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,37200.7,0.92059,0.77388,1.05436,0.6935,0.56965,0.61938,0.45623,0.95096,0.86166,1.06175,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,38147.1,0.90466,0.74213,1.04587,0.68974,0.57251,0.62025,0.45683,0.94984,0.86072,1.06078,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
